zone_id,trips_pk_in,trips_pk_out,trips_op_in,trips_op_out,trips_day_in,trips_day_out,transit_trips_pk_in,transit_trips_pk_out,transit_trips_op_in,transit_trips_op_out,transit_trips_day_in,transit_trips_day_out
53,354.85054909999997,655.418578,647.2142286,1117.6700323999999,1002.0647776999999,1773.0886103999999,6.8715787559855235,35.04187793437318,68.32439345768698,134.2544757908666,75.1959722136725,169.29635372523978
54,0.0,0.0,110.9526927,0.0,110.9526927,0.0,0.0,0.0,21.04156481548636,0.0,21.04156481548636,0.0
55,46.288556,0.0,73.07255140000001,124.8210486,119.36110740000001,124.8210486,8.480630746921777,0.0,16.752443002332214,25.374053583437124,25.23307374925399,25.374053583437124
56,0.0,0.0,0.0,107.54161909999999,0.0,107.54161909999999,0.0,0.0,0.0,25.72042936833596,0.0,25.72042936833596
57,87.0266316,31.5335883,44.0772765,223.954515,131.1039081,255.48810329999998,16.55286237137421,4.802447001534493,2.745404040839648,42.04496220602899,19.29826641221386,46.84740920756349
58,165.14504060000002,0.0,33.7160622,0.0,198.86110280000003,0.0,34.978794961317796,0.0,7.896042216107272,0.0,42.874837177425064,0.0
59,0.0,0.0,59.11156379999999,0.0,59.11156379999999,0.0,0.0,0.0,8.919180926637612,0.0,8.919180926637612,0.0
60,0.0,0.0,0.0,292.23610659999997,0.0,292.23610659999997,0.0,0.0,0.0,56.738743550646326,0.0,56.738743550646326
61,0.0,0.0,36.4818006,0.0,36.4818006,0.0,0.0,0.0,8.208332018275451,0.0,8.208332018275451,0.0
62,480.334454,98.304551,1071.1016706,888.9680013,1551.4361246,987.2725522999999,19.691025227458574,1.6157199401786273,150.34549828286234,91.86297730397747,170.0365235103209,93.4786972441561
63,158.6745419,28.492964100000002,162.6720377,115.32701689999999,321.34657960000004,143.81998099999998,2.7230629366639807,3.2568826472436885,14.366055906720854,13.081210694633036,17.089118843384835,16.338093341876725
64,73.8462444,195.81866610000003,1030.2349135,371.7541199,1104.0811578999999,567.572786,2.111349387488285,4.9346241138617835,109.12561350639355,36.966914041452085,111.23696289388184,41.90153815531387
65,162.1664405,70.4858932,1429.1899756999999,216.3855277,1591.3564161999998,286.87142090000003,2.4280986010548506,0.9443549443898308,124.89351792513557,28.401106270212214,127.32161652619043,29.345461214602043
66,471.1262979,871.4898049000001,1477.6184916000002,707.3101758,1948.7447895000003,1578.7999807,17.310340895825842,25.330286141260153,201.69796384395028,69.26147274676634,219.00830473977612,94.5917588880265
67,220.2346244,426.9647765,532.3800417,776.0897784,752.6146661,1203.0545549,1.693108417415378,57.82948375862588,33.15990537086746,88.45303492121326,34.853013788282844,146.28251867983914
68,0.0,72.6763556,0.0,72.6763556,0.0,145.3527112,0.0,11.73562701493063,0.0,17.76920095449737,0.0,29.504827969428
