r,d,t1,t2,s1,s2,n1,n2
672,2,27,32.0,10,2.0,1063,1250.0
673,2,9.0,16.0,30.0,5.0,381.0,629.0
673,2,16,23.0,5,35.0,629,932.0
673,2,23,27.0,35,10.0,932,1063.0
673,2,27,32.0,10,2.0,1063,1250.0
674,2,9.0,16.0,30.0,5.0,381.0,629.0
674,2,16,23.0,5,35.0,629,932.0
674,2,23,27.0,35,10.0,932,1063.0
674,2,27,32.0,10,2.0,1063,1250.0
686,4,29,36.0,30,31.0,1161,1435.0
686,4,36,40.0,31,20.0,1435,1580.0
688,4,29,36.0,30,31.0,1161,1435.0
689,4,29,36.0,30,31.0,1161,1435.0
705,4,36,40.0,31,20.0,1435,1580.0
735,4,15,22.0,36,5.0,621,863.0
735,4,22,29.0,5,30.0,863,1161.0
735,4,29,36.0,30,31.0,1161,1435.0
736,4,15,22.0,36,5.0,621,863.0
736,4,22,29.0,5,30.0,863,1161.0
736,4,29,36.0,30,31.0,1161,1435.0
737,4,15,22.0,36,5.0,621,863.0
737,4,22,29.0,5,30.0,863,1161.0
737,4,29,36.0,30,31.0,1161,1435.0
738,4,15,22.0,36,5.0,621,863.0
738,4,22,29.0,5,30.0,863,1161.0
738,4,29,36.0,30,31.0,1161,1435.0
739,4,15,22.0,36,5.0,621,863.0
739,4,22,29.0,5,30.0,863,1161.0
739,4,29,36.0,30,31.0,1161,1435.0
740,4,15,22.0,36,5.0,621,863.0
740,4,22,29.0,5,30.0,863,1161.0
740,4,29,36.0,30,31.0,1161,1435.0
741,4,15,22.0,36,5.0,621,863.0
741,4,22,29.0,5,30.0,863,1161.0
741,4,29,36.0,30,31.0,1161,1435.0
Matching Rate: 0.16445623342175067
