"emp1","emp2","emp3","emp4","emp5"
1090,1125,1065,930,1875
1095,740,1090,655,1510
1095,740,1510,985,910
1715,1495,740,1510,930
910,985,1715,1125,1875
1065,1875,930,1095,1045
740,655,1495,1805,1875
1540,1715,1090,740,1045
1090,1510,1540,1095,1805
1095,740,1045,1875,655
630,1065,1145,1090,1560
1875,1875,1125,690,875
630,1125,740,955,655
1510,1875,1065,1875,740
820,1875,955,1195,580
1195,985,1095,985,1875
740,1095,1875,985,340
1875,565,1090,1875,1715
565,1195,1805,1560,1895
1875,1715,1895,630,875
1125,1195,655,1805,740
1495,1875,1495,1065,860
1875,1090,955,845,1510
1095,740,1495,690,1895
985,1875,740,1875,1195
690,1195,1560,655,1510
565,340,690,340,1495
740,1805,1040,565,550
580,1195,565,740,585
1195,340,585,740,550
550,565,580,585,1040
1560,985,1380,1125,740
725,740,945,660,895
740,1560,700,725,895
690,930,1510,1065,1045
985,435,1380,760,1495
1495,1495,655,1400,1715
930,585,1065,1875,675
520,690,1510,1875,1805
585,655,1895,675,930
905,1065,715,1875,585
1065,660,955,1715,2350
660,930,930,1510,715
1405,1095,690,905,1715
435,1405,585,675,905
1510,1095,1895,1040,1895
1510,1895,440,715,1095
1715,440,1875,1095,715
1715,1065,715,1950,1805
1540,930,1875,440,1065
930,1405,955,660,520
740,1090,740,1805,715
1095,1065,1125,2350,1125
655,440,740,1875,1895
930,985,1950,1875,1405
1540,1510,1495,905,690
1095,2350,2350,1540,1040
930,740,675,985,1950
1045,2350,1950,1715,1495
1495,675,1895,440,690
2350,1875,955,1715,435
435,955,1805,1715,1510
1380,930,1090,985,1380
1875,930,985,1380,1380
905,715,1510,1095,1495
1045,1040,1065,1875,1715
715,520,1805,1895,740
1095,440,1095,1045,1875
655,1510,1095,585,1875
585,690,740,1510,435
655,715,1540,955,740
930,1090,2350,1715,1875
985,2350,1715,1875,985
1065,585,740,1510,1950
1540,985,905,715,955
1540,435,930,1040,1045
985,725,1215,985,1895
725,1895,655,1510,985
725,655,655,1215,985
955,1090,510,985,655
895,660,1090,725,1380
510,655,955,985,945
655,1095,1510,1040,440
1895,660,520,1045,2350
585,1540,1950,1495,1540
1875,1040,655,1405,440
435,930,585,905,1510
740,435,1495,1095,2350
955,1405,585,905,2350
415,415,985,585,1040
985,1090,985,585,1040
1875,1090,1805,1125,1875
1095,655,655,1510,1805
1045,985,1125,1095,740
1065,2350,1805,985,1875
1065,1095,655,1510,715
1090,700,435,435,565
1095,1875,905,1065,955
1875,1065,955,985,1875
1875,1715,490,985,1065
1715,1875,1510,985,955
985,955,490,1875,1510
1715,985,1065,490,1510
655,1090,660,985,955
985,1090,660,985,955
655,1090,660,985,955
1125,955,1560,1090,660
1125,590,700,1560,660
100,447,1318,93,158
152,211,159,100,769
193,2557,100,56,13
100,56,75,4057,203
279,69,632,100,3
1716,32,100,102,70
100,100,100,100,100
100,100,100,100,100
100,100,100,100,100
455,6,100,110,291
100,20,1318,4057,3
68,352,100,352,4158
1510,1095,1875,1510,1090
1875,1125,1095,985,955
1090,1875,905,1095,985
895,1380,655,1560,985
740,1380,895,510,660
955,660,1380,945,660
1510,1715,490,985,1875
1875,1065,955,1510,955
1400,655,1715,985,1125
985,1875,490,955,1715
955,1875,985,490,1065
1715,955,1510,1875,1065
70,1318,100,2201,13
1715,690,1875,1195,490
1715,985,1195,490,655
1510,1095,1090,715,1090
1510,715,1875,715,1090
1875,585,955,955,435
875,1875,1495,580,435
1875,435,585,955,415
435,580,875,1875,660
955,955,930,715,1510
769,100,455,17,56
85,68,100,124,163
298,100,13,314,2975
143,246,100,271,609
1065,1065,1875,985,955
1875,1095,1875,985,955
