,dist1,dist2,dist3,dist4,dist5
306,3.6100000000000003,4.09,2.09,1.32,2.23
307,3.6100000000000003,4.03,2.23,2.09,2.23
308,3.6100000000000003,3.5599999999999996,2.48,6.09,2.94
309,2.48,3.5599999999999996,6.09,2.94,3.6100000000000003
310,9999.0,4.029999999999999,4.260000000000001,2.86,6.14
311,0.0,2.71,8.62,9.79,14.55
312,2.71,7.359999999999999,16.16,11.059999999999999,9999.0
313,2.41,9.2,5.300000000000001,2.16,13.87
314,2.16,1.32,5.300000000000001,9999.0,8.760000000000002
315,9999.0,1.5,11.52,2.71,8.1
316,9999.0,8.6,2.86,10.170000000000002,9999.0
317,0.0,12.549999999999999,8.850000000000001,9999.0,9999.0
318,13.299999999999999,1.32,8.850000000000001,2.29,5.24
319,8.760000000000002,9999.0,2.86,9999.0,10.27
320,9999.0,9999.0,12.070000000000002,9999.0,10.27
321,9999.0,8.850000000000001,13.87,5.300000000000001,9.2
322,9999.0,5.300000000000001,2.29,1.32,9999.0
323,9999.0,9.2,10.27,12.549999999999999,5.300000000000001
324,9999.0,2.41,2.16,13.299999999999999,0.0
325,1.32,1.32,8.2,13.299999999999999,5.300000000000001
326,4.47,1.3,1.91,9.07,2.42
327,9.67,4.39,1.3,4.47,2.42
328,9999.0,4.39,2.18,4.47,3.32
329,8.67,5.5,3.29,9.58,8.299999999999999
330,15.360000000000001,5.84,9.05,7.21,2.29
331,11.55,9999.0,15.360000000000001,0.0,1.5
332,8.29,10.260000000000002,7.300000000000001,12.23,9.05
333,11.52,0.0,3.61,3.34,2.96
334,3.34,3.34,3.61,2.86,13.129999999999999
335,2.86,2.86,6.85,16.16,9.79
336,3.61,3.34,14.55,3.61,11.52
337,7.52,9999.0,9.059999999999999,15.729999999999999,7.52
338,7.52,15.729999999999999,7.52,9.75,9999.0
339,12.12,9999.0,7.52,7.52,15.729999999999999
340,5.84,9999.0,9999.0,5.99,12.23
341,2.11,11.55,11.690000000000001,12.330000000000002,7.21
342,5.84,9.05,8.29,3.6100000000000003,11.690000000000001
343,1.5,3.96,2.29,9999.0,5.84
344,12.330000000000002,5.84,7.33,12.330000000000002,7.21
345,12.23,2.29,11.690000000000001,2.29,10.82
346,9.16,9.05,15.360000000000001,12.330000000000002,9999.0
347,2.16,9999.0,3.75,9999.0,9.43
348,2.16,0.0,9999.0,9999.0,9.43
349,2.16,0.0,3.75,9999.0,9.43
350,9.43,0.0,3.75,9999.0,9.43
351,2.16,0.0,3.75,9999.0,9.43
352,2.16,3.75,3.75,9999.0,9.43
353,2.16,0.0,3.75,3.75,9.43
354,2.16,0.0,3.75,3.75,9.43
355,9.77,9999.0,5.300000000000001,7.949999999999999,9.7
356,9.7,9999.0,7.949999999999999,9999.0,6.33
357,11.52,2.86,2.96,8.1,16.16
358,3.96,5.84,11.55,12.330000000000002,7.47
359,9999.0,12.330000000000002,5.99,9999.0,3.6100000000000003
360,12.330000000000002,0.0,12.330000000000002,1.5,11.55
361,1.91,9999.0,2.9699999999999998,9999.0,9.67
362,4.05,2.42,2.7800000000000002,4.39,9999.0
363,3.0300000000000002,3.13,6.89,6.89,2.6799999999999997
364,4.99,5.58,17.54,1.38,9999.0
365,8.059999999999999,8.059999999999999,6.83,14.44,3.7800000000000002
366,3.97,8.1,0.0,4.93,5.029999999999999
367,5.24,8.1,3.7800000000000002,8.1,4.93
368,8.1,3.97,5.4,14.44,3.7800000000000002
369,8.1,8.1,5.029999999999999,14.44,5.4
370,5.029999999999999,6.83,8.1,8.1,0.0
371,2.6,5.89,4.21,1.18,4.21
372,8.629999999999999,8.040000000000001,4.44,10.27,10.27
373,2.9699999999999998,9999.0,9999.0,2.18,9.07
374,11.96,9.36,9.36,3.29,5.67
375,4.54,5.67,6.829999999999999,9.659999999999998,9999.0
376,7.66,4.95,5.74,5.0600000000000005,8.81
377,7.66,5.74,5.74,5.0600000000000005,8.81
378,7.66,4.95,5.0600000000000005,5.0600000000000005,8.81
379,7.66,4.95,8.81,5.0600000000000005,8.81
380,7.66,4.95,5.74,5.0600000000000005,8.81
381,7.66,5.74,5.74,5.0600000000000005,8.81
382,7.66,4.95,5.74,5.0600000000000005,8.81
383,7.66,4.95,5.74,5.0600000000000005,8.81
384,5.74,4.95,5.74,5.0600000000000005,8.81
385,2.8099999999999996,1.41,5.18,5.18,3.3099999999999996
386,17.27,6.709999999999999,9999.0,2.11,3.46
387,2.61,1.79,2.22,17.27,3.46
