"dat_id","per_id","age","gender","income","lic","mode","purpose","X","geoid_o","sampno","deptime","geoid_d","zid","arrtime","dist","autoivtt","darivtt","walktt","costauto","sharedridecost","darefare","busfare","buswaitt","bustt","u_perid","emp","child16","hh_auto","PERRKWT0"
3,210318801,4,2,3,1,4,3,3,260210021002,2103188,"5/13/2015 7:45",260210008002,260000000000,"5/13/2015 8:40",3.84,5.76,6.582857143,65.82857143,2.304,0.9216,2.384,1.192,-99999,9.216,1,0,-99999,1,112.0514392
3,210318801,4,2,3,1,4,18,18,260210021002,2103188,"5/13/2015 17:45",260210008003,260000000000,"5/13/2015 18:00",4.82,7.23,8.262857143,82.62857143,2.892,1.1568,2.482,1.241,-99999,11.568,0,0,-99999,1,112.0514392
3,210318802,2,1,3,-99999,5,6,6,260210021002,2103188,"5/13/2015 7:45",260210024001,260000000000,"5/13/2015 7:55",5.9,8.85,10.11428571,101.1428571,3.54,1.416,2.59,1.295,-99999,14.16,1,-99999,-99999,1,120.7771028
3,210318802,2,1,3,-99999,5,18,18,260210021002,2103188,"5/13/2015 17:45",260210008003,260000000000,"5/13/2015 18:00",7.67,11.505,13.14857143,131.4857143,4.602,1.8408,2.767,1.3835,-99999,18.408,0,-99999,-99999,1,120.7771028
3,210318803,2,1,3,-99999,5,6,6,260210021002,2103188,"5/13/2015 7:45",260210020003,260000000000,"5/13/2015 8:20",8.06,12.09,13.81714286,138.1714286,4.836,1.9344,2.806,1.403,-99999,19.344,1,-99999,-99999,1,120.7771028
3,210318803,2,1,3,-99999,5,18,18,260210021002,2103188,"5/13/2015 17:45",260210008003,260000000000,"5/13/2015 18:00",4.84,7.26,8.297142857,82.97142857,2.904,1.1616,2.484,1.242,-99999,11.616,0,-99999,-99999,1,120.7771028
3,210318804,2,1,3,-99999,5,6,6,260210021002,2103188,"5/13/2015 7:45",260210020003,260000000000,"5/13/2015 8:20",8.06,12.09,13.81714286,138.1714286,4.836,1.9344,2.806,1.403,-99999,19.344,1,-99999,-99999,1,120.7771028
3,210318804,2,1,3,-99999,5,18,18,260210021002,2103188,"5/13/2015 17:45",260210008003,260000000000,"5/13/2015 18:00",4.84,7.26,8.297142857,82.97142857,2.904,1.1616,2.484,1.242,-99999,11.616,0,-99999,-99999,1,120.7771028
3,210857601,6,2,3,1,4,3,3,260210016001,2108576,"4/29/2015 9:10",260210008002,260000000000,"4/29/2015 9:30",7.46,11.19,12.78857143,127.8857143,4.476,1.7904,2.746,1.373,-99999,17.904,1,1,-99999,1,56.4616549
3,210857601,6,2,3,1,4,17,17,260210016001,2108576,"4/29/2015 18:20",260210105001,260000000000,"4/29/2015 18:45",18.72,28.08,32.09142857,320.9142857,11.232,4.4928,3.872,1.936,-99999,44.928,0,1,-99999,1,56.4616549
3,210922201,4,2,2,1,4,16,16,260210016001,2109222,"5/5/2015 15:30",260210016001,260000000000,"5/5/2015 15:40",1.44,2.16,2.468571429,24.68571429,0.864,0.3456,2.144,1.072,-99999,3.456,0,0,-99999,2,47.9517186
3,210922201,4,2,2,1,4,3,3,260210016001,2109222,"5/5/2015 17:30",260210008003,260000000000,"5/5/2015 17:45",4.9,7.35,8.4,84,2.94,1.176,2.49,1.245,-99999,11.76,0,0,-99999,2,47.9517186
3,210922202,2,1,2,-99999,5,6,6,260210016001,2109222,"5/5/2015 6:50",260210016001,260000000000,"5/5/2015 6:58",1.29,1.935,2.211428571,22.11428571,0.774,0.3096,2.129,1.0645,-99999,3.096,0,-99999,-99999,2,50.9812839
3,210990801,4,1,5,1,4,3,3,260210016001,2109908,"4/23/2015 4:15",260270022002,260000000000,"4/23/2015 4:55",24.05,36.075,41.22857143,412.2857143,14.43,5.772,4.405,2.2025,-99999,57.72,0,0,-99999,2,42.3821805
3,210990802,4,2,5,1,4,7,7,260210016001,2109908,"4/23/2015 11:50",260210022003,260000000000,"4/23/2015 12:23",8.03,12.045,13.76571429,137.6571429,4.818,1.9272,2.803,1.4015,-99999,19.272,0,6,-99999,2,36.5258355
3,211090201,4,2,7,1,4,10,10,260210017003,2110902,"5/14/2015 9:00",260210016001,260000000000,"5/14/2015 9:09",0.33,0.495,0.565714286,5.657142857,0.198,0.0792,2.033,1.0165,-99999,0.792,1,0,-99999,4,38.3819363
3,211090201,4,2,7,1,4,9,9,260210017003,2110902,"5/14/2015 16:40",260210016001,260000000000,"5/14/2015 16:45",1.56,2.34,2.674285714,26.74285714,0.936,0.3744,2.156,1.078,-99999,3.744,0,0,-99999,4,38.3819363
3,211090202,4,1,7,1,4,3,3,260210017003,2110902,"5/14/2015 10:45",260210009001,260000000000,"5/14/2015 11:05",5.96,8.94,10.21714286,102.1714286,3.576,1.4304,2.596,1.298,-99999,14.304,0,0,-99999,4,32.5341421
