,time1,time2,time3,time4,time5
269,7.630000000000001,10.030000000000001,19.21,11.93,9.309999999999999
270,23.15,19.21,20.8,12.26,9999.0
271,23.15,4.15,17.869999999999997,7.68,9999.0
272,9999.0,12.26,23.15,23.15,20.8
273,20.8,9.309999999999999,14.98,9.309999999999999,12.26
274,19.1,9999.0,9999.0,9999.0,9999.0
275,24.93,9999.0,18.580000000000002,25.23,9999.0
276,13.55,9999.0,9999.0,14.129999999999999,10.12
277,25.23,25.23,13.55,24.93,9999.0
278,13.399999999999999,16.04,7.630000000000001,9.309999999999999,7.68
279,13.399999999999999,20.8,9.309999999999999,9999.0,17.869999999999997
280,19.21,15.87,19.21,20.8,12.26
281,14.98,0.0,23.15,13.399999999999999,9999.0
282,7.630000000000001,14.98,12.350000000000001,12.26,4.15
283,7.68,9999.0,17.869999999999997,12.26,13.399999999999999
284,12.350000000000001,13.399999999999999,17.869999999999997,10.030000000000001,0.0
285,0.0,11.93,7.68,9.309999999999999,23.15
286,19.75,24.78,19.75,20.08,5.92
287,10.75,19.75,21.61,5.92,7.27
288,5.92,13.0,15.93,20.08,19.75
289,5.92,15.93,9999.0,9999.0,10.75
290,10.25,5.25,7.44,24.31,7.44
291,4.82,12.31,10.25,7.44,10.8
292,12.99,9999.0,10.25,6.68,7.109999999999999
293,17.53,13.72,22.38,17.53,8.72
294,8.72,14.16,19.72,21.41,9999.0
295,9999.0,17.53,9999.0,19.72,13.72
296,54.12,41.85999999999999,41.85999999999999,21.28,20.05
297,34.23,9.2,41.85999999999999,21.28,21.89
298,9999.0,24.78,15.93,21.61,5.92
299,19.75,13.0,21.61,20.08,5.92
300,20.19,8.05,9.07,0.0,9.07
301,13.829999999999998,0.0,8.05,9.07,20.19
302,30.92,24.16,33.28,28.84,42.93
303,30.92,35.61,36.58,55.22,29.05
304,19.75,30.21,10.75,30.21,21.61
305,10.75,24.78,13.0,19.75,15.93
306,8.2,9.07,5.12,3.48,4.15
307,8.2,8.05,4.15,5.12,4.15
308,10.78,8.0,6.390000000000001,11.72,8.0
309,6.390000000000001,8.0,11.72,8.0,10.78
310,9999.0,13.34,8.24,8.350000000000001,12.190000000000001
311,0.0,5.92,17.860000000000003,18.86,30.830000000000002
312,5.92,14.16,31.39,21.93,9999.0
313,4.63,17.8,10.35,4.73,28.43
314,4.73,3.48,10.35,9999.0,21.529999999999998
315,9999.0,3.08,26.070000000000004,5.92,17.16
316,9999.0,19.89,6.57,24.86,9999.0
317,0.0,26.2,18.88,9999.0,9999.0
318,25.46,3.48,18.88,4.72,11.18
319,21.529999999999998,9999.0,6.57,9999.0,20.95
320,9999.0,9999.0,28.430000000000003,9999.0,20.95
321,9999.0,18.88,28.43,10.35,17.8
322,9999.0,10.35,4.72,3.48,9999.0
323,9999.0,17.8,20.95,26.2,10.35
324,9999.0,4.63,4.73,25.46,0.0
325,3.48,3.48,15.95,25.46,10.35
326,12.99,4.82,5.25,21.71,6.68
327,24.31,12.31,4.82,12.99,6.68
328,9999.0,12.31,7.44,12.99,8.58
329,19.75,16.15,6.62,22.3,18.33
330,28.310000000000002,12.35,19.95,13.65,4.72
331,21.849999999999998,9999.0,28.310000000000002,0.0,3.08
332,15.780000000000001,18.849999999999998,14.079999999999998,27.759999999999998,19.95
333,26.070000000000004,0.0,7.08,4.95,5.88
334,4.95,4.95,7.08,6.57,26.93
335,6.57,6.57,10.350000000000001,31.39,18.86
336,7.08,4.95,30.830000000000002,7.08,26.070000000000004
337,15.120000000000001,9999.0,18.59,30.610000000000003,15.120000000000001
338,15.120000000000001,30.610000000000003,15.120000000000001,18.78,9999.0
339,18.53,9999.0,15.120000000000001,15.120000000000001,30.610000000000003
340,12.35,9999.0,9999.0,10.899999999999999,27.759999999999998
341,4.0,21.849999999999998,26.299999999999997,23.849999999999998,13.65
342,12.35,19.95,15.780000000000001,8.2,26.299999999999997
343,3.08,6.77,4.72,9999.0,12.35
344,23.849999999999998,12.35,14.31,23.849999999999998,13.65
345,27.759999999999998,4.72,26.299999999999997,4.72,24.429999999999996
346,18.979999999999997,19.95,28.310000000000002,23.849999999999998,9999.0
347,4.73,9999.0,7.08,9999.0,14.26
348,4.73,0.0,9999.0,9999.0,14.26
349,4.73,0.0,7.08,9999.0,14.26
350,14.26,0.0,7.08,9999.0,14.26
351,4.73,0.0,7.08,9999.0,14.26
352,4.73,7.08,7.08,9999.0,14.26
353,4.73,0.0,7.08,7.08,14.26
354,4.73,0.0,7.08,7.08,14.26
355,22.38,9999.0,10.35,19.72,18.53
356,18.53,9999.0,19.72,9999.0,13.83
357,26.070000000000004,6.57,5.88,17.16,31.39
358,6.77,12.35,21.849999999999998,23.849999999999998,12.17
359,9999.0,23.849999999999998,10.899999999999999,9999.0,8.2
360,23.849999999999998,0.0,23.849999999999998,3.08,21.849999999999998
361,5.25,9999.0,7.109999999999999,9999.0,24.31
362,10.8,6.68,7.99,12.31,9999.0
363,8.82,9.03,15.4,15.4,7.26
364,15.709999999999999,13.469999999999999,34.78,3.9699999999999998,9999.0
365,14.280000000000001,14.280000000000001,17.910000000000004,28.39,8.1
366,8.53,17.16,0.0,13.680000000000001,9.77
367,11.18,17.16,8.1,17.16,13.680000000000001
368,17.16,8.53,12.25,28.39,8.1
369,17.16,17.16,9.77,28.39,12.25
370,9.77,17.910000000000004,17.16,17.16,0.0
371,8.07,11.72,9.8,3.55,9.8
372,17.25,21.509999999999998,9.33,21.200000000000003,21.200000000000003
373,7.109999999999999,9999.0,9999.0,7.44,21.71
374,26.369999999999997,20.799999999999997,20.799999999999997,6.62,15.350000000000001
375,10.969999999999999,15.350000000000001,16.25,24.460000000000004,9999.0
376,15.09,9.17,11.870000000000001,8.65,15.73
377,15.09,11.870000000000001,11.870000000000001,8.65,15.73
378,15.09,9.17,8.65,8.65,15.73
379,15.09,9.17,15.73,8.65,15.73
380,15.09,9.17,11.870000000000001,8.65,15.73
381,15.09,11.870000000000001,11.870000000000001,8.65,15.73
382,15.09,9.17,11.870000000000001,8.65,15.73
383,15.09,9.17,11.870000000000001,8.65,15.73
384,11.870000000000001,9.17,11.870000000000001,8.65,15.73
385,6.96,3.33,14.39,14.39,7.5600000000000005
386,38.05,15.200000000000001,9999.0,6.48,10.329999999999998
387,9.18,5.42,6.2299999999999995,38.05,10.329999999999998
388,5.42,15.129999999999999,15.200000000000001,10.329999999999998,15.129999999999999
389,6.48,15.200000000000001,5.42,6.48,9.18
390,10.329999999999998,6.2299999999999995,5.42,9999.0,6.48
391,6.48,38.05,6.2299999999999995,5.42,15.200000000000001
392,15.129999999999999,6.48,15.200000000000001,9999.0,5.42
393,9.18,6.2299999999999995,6.2299999999999995,15.129999999999999,9999.0
394,15.129999999999999,6.2299999999999995,9999.0,38.05,9.18
395,15.200000000000001,38.05,6.48,15.129999999999999,6.2299999999999995
396,6.2299999999999995,3.92,5.42,9999.0,9999.0
397,6.48,15.129999999999999,6.48,3.92,9.18
398,15.129999999999999,6.48,9999.0,15.200000000000001,5.42
399,9999.0,6.48,5.42,9.18,3.92
400,12.25,14.280000000000001,13.680000000000001,17.910000000000004,8.53
401,0.0,12.25,28.39,13.680000000000001,17.910000000000004
402,17.910000000000004,13.680000000000001,28.39,11.18,12.25
403,6.96,3.33,9.39,14.39,7.5600000000000005
404,6.96,3.33,9.39,3.33,7.5600000000000005
405,20.230000000000004,8.11,5.72,4.63,8.11
406,4.949999999999999,1.4,3.77,6.17,3.07
407,4.949999999999999,1.4,3.07,2.57,6.67
408,6.17,4.949999999999999,4.949999999999999,6.25,6.67
409,2.57,4.949999999999999,6.17,1.4,4.949999999999999
410,4.949999999999999,6.17,3.07,2.57,4.949999999999999
411,4.949999999999999,3.77,2.57,3.07,4.949999999999999
412,20.259999999999998,38.31,39.7,53.230000000000004,23.26
413,4.949999999999999,6.25,2.57,2.57,1.4
414,2.57,3.77,6.67,1.4,3.77
415,8.1,28.39,11.18,14.280000000000001,17.16
416,30.96,17.91,32.46,20.259999999999998,32.43
417,21.39,19.49,18.9,25.150000000000002,24.45
418,6.17,3.07,6.17,6.25,6.67
419,6.25,3.77,3.07,2.57,4.949999999999999
420,3.77,6.67,4.949999999999999,1.4,2.57
421,16.89,10.350000000000001,16.89,35.33,37.55
422,6.25,9999.0,9999.0,6.25,7.52
423,16.55,9.33,9999.0,5.0,9999.0
424,9999.0,9.33,0.0,0.0,6.25
425,6.96,3.33,9.39,14.39,7.5600000000000005
426,6.96,3.33,9.39,9.39,7.5600000000000005
427,37.55,10.350000000000001,16.89,35.33,37.55
428,10.969999999999999,9999.0,0.0,17.910000000000004,13.66
429,0.0,9999.0,9999.0,9999.0,20.799999999999997
430,20.799999999999997,9999.0,17.910000000000004,12.969999999999999,16.25
431,9999.0,16.55,7.52,17.869999999999997,6.25
432,15.200000000000001,9999.0,9999.0,9.18,38.05
433,9.18,9999.0,15.200000000000001,3.92,10.329999999999998
434,10.969999999999999,26.369999999999997,27.990000000000006,6.62,9999.0
435,15.350000000000001,17.910000000000004,17.910000000000004,0.0,26.369999999999997
436,0.0,24.460000000000004,37.94,4.23,13.66
437,4.73,0.0,7.08,4.73,14.26
438,4.73,0.0,4.73,9999.0,14.26
439,9999.0,9999.0,5.0,6.25,4.32
440,16.55,17.869999999999997,7.52,9999.0,5.0
441,8.25,10.98,4.7299999999999995,2.57,8.399999999999999
442,4.9,0.0,7.2299999999999995,9.29,13.18
443,4.9,13.18,7.2299999999999995,9.29,13.18
444,4.9,0.0,9.29,9.29,13.18
445,4.9,0.0,7.2299999999999995,7.2299999999999995,13.18
446,0.0,0.0,7.2299999999999995,9.29,13.18
447,4.9,4.9,7.2299999999999995,9.29,13.18
448,4.9,0.0,7.2299999999999995,9.29,13.18
449,5.03,9999.0,5.03,24.78,0.0
450,0.0,5.03,24.78,37.529999999999994,9999.0
451,11.120000000000001,0.0,5.03,5.03,9999.0
452,0.0,25.86,15.31,10.58,0.0
453,7.48,19.64,9999.0,0.0,13.08
454,5.53,13.08,7.4,9999.0,17.68
455,15.25,5.53,0.0,0.0,8.75
456,0.0,25.86,10.58,7.4,17.68
457,7.4,0.0,9999.0,17.68,7.48
458,6.25,6.67,3.77,6.25,4.949999999999999
459,1.4,6.17,6.67,4.949999999999999,2.57
460,6.25,1.4,6.17,6.67,3.07
461,2.57,8.399999999999999,10.129999999999999,9999.0,8.399999999999999
462,13.26,6.04,5.02,8.399999999999999,4.7299999999999995
463,21.33,0.0,10.21,9999.0,21.33
464,21.33,0.0,21.33,9999.0,32.35
465,5.02,6.04,8.25,10.129999999999999,1.93
466,10.129999999999999,10.129999999999999,20.38,13.26,4.7299999999999995
467,12.28,2.57,10.129999999999999,6.58,1.93
468,18.33,5.03,6.62,24.209999999999997,19.75
469,9999.0,9999.0,9999.0,9999.0,9999.0
470,8.07,11.72,8.07,3.55,9.8
471,0.0,11.72,0.0,3.55,9.8
472,8.07,11.72,0.0,3.55,9.8
473,8.07,11.72,0.0,3.55,9.8
474,8.07,11.72,9.8,3.55,9.8
475,8.07,11.72,8.07,3.55,9.8
476,2.43,17.7,7.529999999999999,11.57,12.23
477,5.98,5.98,11.629999999999999,11.61,12.23
478,9.94,9999.0,12.129999999999999,0.0,17.83
479,21.35,6.05,6.05,5.12,17.83
480,5.12,0.0,8.2,6.05,9.94
481,9999.0,5.12,6.05,4.3,22.23
482,12.83,21.0,5.22,5.22,17.83
483,5.12,12.83,8.2,12.83,21.0
484,10.35,21.36,0.0,0.0,18.64
485,9.49,21.36,9.49,0.0,18.64
486,10.35,21.36,9.49,18.64,18.64
487,9999.0,9999.0,9999.0,9999.0,9999.0
488,21.810000000000002,21.529999999999998,9999.0,4.73,9999.0
489,0.0,15.95,10.35,9999.0,4.72
490,20.95,24.86,10.35,9999.0,26.2
491,10.35,4.73,19.89,20.95,21.810000000000002
492,3.48,20.95,4.63,4.73,11.18
493,4.73,21.810000000000002,28.430000000000003,9999.0,9999.0
494,9999.0,9999.0,9999.0,4.73,28.43
495,9999.0,15.95,4.73,4.63,9999.0
496,6.57,3.48,9999.0,18.88,0.0
497,26.2,0.0,0.0,25.46,9999.0
498,23.28,15.15,26.1,31.27,8.16
499,18.28,11.64,26.1,11.64,31.27
500,5.22,9.1,12.83,21.35,6.05
501,10.35,21.36,9.49,0.0,18.64
502,37.94,21.090000000000003,21.090000000000003,15.350000000000001,10.969999999999999
503,21.090000000000003,10.969999999999999,27.990000000000006,6.62,17.910000000000004
504,4.23,37.94,9999.0,12.969999999999999,24.460000000000004
505,19.509999999999998,9.94,5.12,17.83,12.129999999999999
506,34.1,32.47,10.31,19.31,36.67
507,12.23,11.61,11.57,9.2,2.43
508,7.529999999999999,2.43,9.2,6.58,11.57
509,5.98,2.43,6.79,11.57,12.23
510,11.57,6.58,7.529999999999999,11.57,9.2
511,11.57,6.79,11.629999999999999,17.7,9.2
512,8.2,6.05,19.509999999999998,19.509999999999998,9999.0
513,28.430000000000003,4.63,9999.0,18.88,24.86
514,10.35,9999.0,20.95,3.48,25.46
515,17.8,3.48,9999.0,4.73,25.46
516,9999.0,10.35,9999.0,10.35,0.0
517,28.43,4.72,19.89,3.48,11.18
518,3.48,19.89,28.43,9999.0,6.57
519,24.86,3.48,9999.0,28.430000000000003,17.8
520,25.46,0.0,9999.0,21.529999999999998,24.86
521,12.190000000000001,9999.0,11.42,9999.0,13.34
522,16.34,14.600000000000001,11.42,33.8,8.24
523,13.34,13.34,11.42,11.88,9999.0
524,33.8,14.17,12.190000000000001,14.17,7.65
525,9999.0,8.350000000000001,14.17,11.42,16.34
526,7.65,13.34,8.350000000000001,11.42,14.600000000000001
527,28.43,0.0,4.73,26.2,9999.0
528,25.46,24.86,4.63,20.95,9999.0
529,26.2,15.95,4.63,6.57,10.75
530,12.75,11.93,5.07,13.98,13.530000000000001
531,16.04,12.350000000000001,9999.0,10.030000000000001,12.350000000000001
532,15.87,4.15,10.030000000000001,17.869999999999997,22.380000000000003
533,10.030000000000001,0.0,9.309999999999999,12.350000000000001,23.15
534,20.8,13.399999999999999,19.21,15.87,16.04
535,0.0,20.8,7.630000000000001,9999.0,13.399999999999999
536,21.0,8.2,9.1,22.23,5.12
537,8.2,21.35,19.509999999999998,5.12,9.94
538,19.509999999999998,22.23,9999.0,8.2,5.22
539,19.509999999999998,17.83,5.22,8.2,12.129999999999999
540,12.83,5.22,8.2,6.05,4.3
541,8.2,21.35,9999.0,0.0,5.12
542,24.180000000000003,17.46,21.09,14.81,4.92
