trip_id,on_id,off_id,od
6642,67,104,"(67, 104)"
6643,73,16,"(73, 16)"
6644,104,104,"(104, 104)"
6645,21,159,"(21, 159)"
6646,3,143,"(3, 143)"
6647,105,93,"(105, 93)"
6648,82,41,"(82, 41)"
6649,159,13,"(159, 13)"
6650,161,15,"(161, 15)"
6651,3,15,"(3, 15)"
6652,40,150,"(40, 150)"
6653,40,150,"(40, 150)"
6654,150,15,"(150, 15)"
6656,104,104,"(104, 104)"
6657,91,150,"(91, 150)"
6658,40,150,"(40, 150)"
6659,67,159,"(67, 159)"
6660,67,12,"(67, 12)"
6661,67,16,"(67, 16)"
6662,73,135,"(73, 135)"
6663,73,135,"(73, 135)"
6664,73,135,"(73, 135)"
6665,17,142,"(17, 142)"
6666,80,105,"(80, 105)"
6667,161,140,"(161, 140)"
6668,80,83,"(80, 83)"
6669,3,73,"(3, 73)"
6670,93,22,"(93, 22)"
6671,3,78,"(3, 78)"
6672,148,27,"(148, 27)"
6673,15,114,"(15, 114)"
6674,17,150,"(17, 150)"
6675,80,3,"(80, 3)"
6676,41,3,"(41, 3)"
6677,21,159,"(21, 159)"
6678,99,39,"(99, 39)"
6679,74,39,"(74, 39)"
6680,142,35,"(142, 35)"
6681,141,73,"(141, 73)"
6682,159,12,"(159, 12)"
6683,38,111,"(38, 111)"
6684,74,102,"(74, 102)"
6685,73,102,"(73, 102)"
6686,45,73,"(45, 73)"
6687,150,12,"(150, 12)"
6688,104,13,"(104, 13)"
6689,4,83,"(4, 83)"
6690,17,14,"(17, 14)"
6691,67,18,"(67, 18)"
6692,67,42,"(67, 42)"
6693,67,104,"(67, 104)"
6694,73,27,"(73, 27)"
6695,45,12,"(45, 12)"
6696,135,90,"(135, 90)"
6697,78,17,"(78, 17)"
6698,23,142,"(23, 142)"
6699,22,13,"(22, 13)"
6700,3,19,"(3, 19)"
6701,73,23,"(73, 23)"
6702,78,81,"(78, 81)"
6703,73,45,"(73, 45)"
6704,22,93,"(22, 93)"
6705,90,150,"(90, 150)"
6706,83,161,"(83, 161)"
6707,104,104,"(104, 104)"
6708,97,21,"(97, 21)"
6709,3,105,"(3, 105)"
6710,3,80,"(3, 80)"
6711,96,87,"(96, 87)"
6712,102,33,"(102, 33)"
6713,135,21,"(135, 21)"
